_id,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,Unnamed: 0,sold_in_last_month,status_code,BSR_classificationRanks_rank,BSR_displayGroupRanks_rank
6709506cf83cce80e2fd9f9a,"Samsung 246 L 3 Star Inverter Direct-Cool Single Door Refrigerator (RR26C3893UT/HL, Pebble Blue, Base Stand with Drawer)",appliances,All Appliances,https://m.media-amazon.com/images/I/61qgj8b+euL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Direct-Cool-Refrigerator-RR26C3893UT-HL/dp/B0BR3YBQMN/ref=sr_1_1181?qid=1679135657&s=appliances&sr=1-1181,4.2,"1,180","₹20,390","₹27,999",1180,402,200,19,1455
6709506cf83cce80e2fd9f9b,Bajaj Snowvent 150 Watts Tower Fan (Blue-Turquoise),appliances,All Appliances,https://m.media-amazon.com/images/I/71FR9VFwgmL._AC_UL320_.jpg,https://www.amazon.in/Bajaj-Snowvent-Tower-Fan-Blue-Turquoise/dp/B07SPVPSP7/ref=sr_1_1182?qid=1679135657&s=appliances&sr=1-1182,3.6,"1,147","₹3,939","₹5,660",1181,331,200,19,1456
6709506cf83cce80e2fd9f9c,"Lifelong LLOT10 10 Litres Oven, Toaster & Griller with Auto Shut Off and 30 Minute Timer, OTG Oven for Baking Cake, Pizza,...",appliances,All Appliances,https://m.media-amazon.com/images/I/71m9IxcjgoL._AC_UL320_.jpg,https://www.amazon.in/Lifelong-LLOT10-650-Watt-Toaster-Griller/dp/B01KTY5OPM/ref=sr_1_1183?qid=1679135657&s=appliances&sr=1-1183,4.1,"2,302","₹2,199","₹3,000",1182,451,200,19,1457
6709506cf83cce80e2fd9f9d,"Carrier 1.5 Ton 3 Star Fixed Speed Window AC( Copper,High Density Filter for Dust Filtration, 2Way Air Directional Contro...",appliances,All Appliances,https://m.media-amazon.com/images/I/717wB+IneGL._AC_UL320_.jpg,https://www.amazon.in/Carrier-Window-Copper-Directional-Control/dp/B0BDG3RTG5/ref=sr_1_1186?qid=1679135657&s=appliances&sr=1-1186,4.3,201,"₹30,990","₹45,090",1185,495,200,19,1460
6709506cf83cce80e2fd9f9e,"AGARO Royal 4 Big Cups Drip Coffee Maker, 600 Ml Borosilicate Glass Carafe Jar, 750W, Water tank with Level Indicator, Bre...",appliances,All Appliances,https://m.media-amazon.com/images/I/71J5wMqo46L._AC_UL320_.jpg,https://www.amazon.in/AGARO-Royal-Auto-Shut-Coffeemaker-Borosilicate/dp/B0B1WSPY1Z/ref=sr_1_1190_mod_primary_new?qid=1679135657&s=appliances&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1190,4.2,132,"₹1,454","₹2,499",1189,468,200,19,1463
6709506cf83cce80e2fd9f9f,"Hindware Nadia IN 90 cm 1350 m³/hr Stylish Filterless Auto-Clean Kitchen Chimney With Metallic Oil Collector, Motion Senso...",appliances,All Appliances,https://m.media-amazon.com/images/I/51jVSj9epPL._AC_UL320_.jpg,https://www.amazon.in/Hindware-Filterless-Auto-Clean-Collector-Operation/dp/B0BB27W5BB/ref=sr_1_1194?qid=1679135657&s=appliances&sr=1-1194,4.2,491,"₹15,999","₹30,990",1193,481,200,19,1467
6709506cf83cce80e2fd9fa0,"Helsta Tap Water Filter, Kitchen Bathroom Tap Filter for hard water with 5 Stages (Pack of 1)",appliances,All Appliances,https://m.media-amazon.com/images/I/517Rr1wlTML._AC_UL320_.jpg,https://www.amazon.in/Helsta-Water-Filter-Kitchen-Bathroom/dp/B0BLZ4J2S8/ref=sr_1_1197_mod_primary_new?qid=1679135657&s=appliances&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1197,3.9,60,₹135,₹199,1196,427,200,19,1470
6709506cf83cce80e2fd9fa1,Aquadpure complete Ro water purifier filter service kit with all accessories,appliances,All Appliances,https://m.media-amazon.com/images/I/81pqBJ8rdXL._AC_UL320_.jpg,https://www.amazon.in/Aquadpure-complete-purifier-service-accessories/dp/B08JZ17QJ2/ref=sr_1_1204?qid=1679135659&s=appliances&sr=1-1204,4.3,244,"₹1,299","₹3,299",1203,451,200,19,1477
6709506cf83cce80e2fd9fa2,Aviksha Enterprise Premium Adjustable Front Load Washing Machine/Heavy Load Refrigerator/Heavy Load Fridge/Heavy Load Dish...,appliances,All Appliances,https://m.media-amazon.com/images/I/61UiIYlB+FL._AC_UL320_.jpg,https://www.amazon.in/Aviksha-EnterpriseTM-Adjustable-Refrigerator-Dishwasher/dp/B07P8FFHSP/ref=sr_1_1208?qid=1679135659&s=appliances&sr=1-1208,4.2,"1,821","₹2,499","₹3,499",1207,506,200,19,1481
6709506cf83cce80e2fd9fa3,Havells Platina with Remote 400mm Wall Fan (White),appliances,All Appliances,https://m.media-amazon.com/images/I/51oy4sRE0rL._AC_UL320_.jpg,https://www.amazon.in/Havells-Platina-400mm-Remote-White/dp/B00J5DY856/ref=sr_1_1209?qid=1679135659&s=appliances&sr=1-1209,4,310,"₹3,498","₹5,600",1208,508,200,19,1482
